Habitat,Level,Quantity,Avaliable Spaces
Terra,1,1,2
Terra,2,0,4
Terra,3,0,5
Terra,4,0,6
Terra,5,0,7
Terra,6,0,8
Terra,7,0,9
Flame,1,1,2
Flame,2,0,4
Flame,3,0,5
Flame,4,0,6
Flame,5,0,7
Flame,6,0,8
Flame,7,1,9
Sea,1,1,2
Sea,2,0,4
Sea,3,0,5
Sea,4,0,6
Sea,5,0,7
Sea,6,1,8
Sea,7,1,9
Nature,1,0,2
Nature,2,3,4
Nature,3,2,5
Nature,4,0,6
Nature,5,0,7
Nature,6,1,8
Nature,7,1,9
Electric,1,0,2
Electric,2,5,4
Electric,3,0,5
Electric,4,0,6
Electric,5,1,7
Electric,6,0,8
Electric,7,1,9
Ice,1,0,2
Ice,2,5,4
Ice,3,1,5
Ice,4,1,6
Ice,5,0,7
Ice,6,0,8
Ice,7,1,9
Metal,1,1,2
Metal,2,8,4
Metal,3,1,5
Metal,4,0,6
Metal,5,0,7
Metal,6,1,8
Metal,7,0,9
Dark,1,6,2
Dark,2,13,4
Dark,3,0,5
Dark,4,1,6
Dark,5,0,7
Dark,6,1,8
Dark,7,0,9
Light,1,4,2
Light,2,5,4
Light,3,0,5
Light,4,0,6
Light,5,1,7
Light,6,1,8
Light,7,0,9
Magic,1,1,2
Magic,2,0,4
Chaos,1,1,2
Chaos,2,0,4
Wind,1,0,2
Wind,2,0,4
Wind,3,1,5
Wind,4,0,6
Wind,5,1,7
Wind,6,0,8
Wind,7,0,9
Beauty,1,0,2
Beauty,2,2,4
Happiness,1,1,2
Happiness,2,0,4
War,1,3,2
War,2,5,4
War,3,0,5
War,4,0,6
War,5,1,7
War,6,0,8
War,7,2,9
Dream,1,1,2
Dream,2,1,4
Primal,1,0,2
Primal,2,3,4
Primal,3,0,5
Primal,4,1,6
Primal,5,0,7
Primal,6,0,8
Primal,7,1,9
Pure,1,0,2
Pure,2,7,4
Pure,3,0,5
Pure,4,0,6
Pure,5,1,7
Pure,6,0,8
Pure,7,0,9
Soul,1,0,2
Soul,2,2,4
Legend,1,2,2
Legend,2,12,4
Legend,3,0,5
Legend,4,0,6
Legend,5,1,7
Legend,6,0,8
Legend,7,1,9
